pincode,latitude,longitude,city,state
392220,21.9201507568359,73.0749969482421,Bharuch,Gujarat
393001,21.630054473876935,72.99313863118486,Ankleshwar,Gujarat
393002,21.632734298706,73.0058288574218,Ankleshwar,Gujarat
393145,21.872726440429652,73.50609588623044,Rajpipla,Gujarat
394101,21.23823928833003,72.87902941022597,Surat,Gujarat
394105,21.234161376953065,72.8683675130208,Surat,Gujarat
394107,21.24029668172197,72.85046386718746,Surat,Gujarat
394150,21.3046836853027,72.9173736572265,Surat,Gujarat
394180,21.2822151184082,72.97216796875,Kamrej,Gujarat
394185,21.230292320251426,72.97674751281735,Navagam,Surat
394210,21.1568231582641,72.85645675659175,Surat,Gujarat
394212,21.1901664733886,72.8570098876953,Surat,Gujarat
394220,21.1542282104492,72.8309936523437,Surat,Gujarat
394240,20.9670810699462,73.1658325195312,Surat,Gujarat
394326,21.2276229858398,72.9422760009765,Surat,Gujarat
394327,21.1703796386718,72.96118164062494,Kadodara,Gujarat
394510,21.2006397247314,72.7692718505859,Pal Gam,Surat
394518,21.1499304771423,72.77370452880857,Surat,Gujarat
394601,21.12577629089354,73.11453399658198,Bardoli,Gujarat
394620,21.0784301757812,73.1646957397461,Surat,Gujarat
394640,21.0496921539306,73.2672119140625,Valod,Gujarat
394650,21.1081161499023,73.3943176269531,Vyara,Gujarat
394651,21.2023544311523,73.4082794189453,Anumala,Gujarat
395001,21.186599595206065,72.82019424438472,Surat,Gujarat
395002,21.17983417510982,72.83057479858394,Surat,Gujarat
395003,21.20229373258698,72.83233552820538,Surat,Gujarat
395004,21.22064574559524,72.83084678649898,Surat,Gujarat
395005,21.2224643707275,72.80136871337886,Surat,Gujarat
395006,21.215758005777957,72.87774997287322,Surat,Gujarat
395007,21.16214297367971,72.79971020038307,Surat,Gujarat
395008,21.20679969787594,72.835823059082,Surat,Gujarat
395009,21.172826948619974,72.86969793410523,Surat,Gujarat
395010,21.204690933227475,72.87292575836177,Surat,Gujarat
395012,21.2617263793945,72.8471984863281,Surat,Gujarat
395017,21.17715358734125,72.8151664733886,Surat,Gujarat
395023,21.1286449432373,72.8556823730468,Surat,Gujarat
395101,21.20426464080805,72.85763359069821,Surat,Gujarat
396001,21.017430623372334,72.86826324462886,Valsad,Gujarat
396002,20.6044082641601,72.9400177001953,Valsad,Gujarat
396191,20.65840403238928,72.94401295979814,Vapi,Gujarat
396195,20.3522748947143,72.9301948547363,Vapi,Gujarat
396220,20.7261486053466,70.9842834472656,Diu,Daman And Diu
396230,20.2819709777832,72.9986724853515,Silvassa,Ut Of Dadra & Nagar Haveli And Daman Diu
396235,20.2757987976074,72.9421844482421,Naroli,Gujarat
396321,20.7653656005859,72.9722595214843,Bilimora,Gujarat
396400,20.94050598144525,72.95269393920896,Navsari,Gujarat
396430,20.8615789413452,73.05864715576166,Bilimora,Gujarat
396445,20.9401130676269,72.9322776794433,Navsari,Gujarat
396521,20.758696238199832,73.06131490071611,Navsari,Gujarat
396580,20.77392387390135,73.3570289611816,Vansda,Gujarat
400001,18.9340286254882,72.8326263427734,Mumbai,Maharashtra
400002,18.9475784301757,72.8304901123046,Mumbai,Maharashtra
400003,18.9500617980957,72.8364334106445,Mumbai,Maharashtra
400004,18.957648468017542,72.81909790039057,Mumbai,Maharashtra
400005,18.91702985763545,72.82239723205565,Mumbai,Maharashtra
400006,18.9537289937337,72.8002014160156,Mumbai,Maharashtra
400007,18.9577255249023,72.81114196777335,Mumbai,Maharashtra
400008,18.9686800638834,72.8252766927083,Mumbai,Maharashtra
400009,18.95947265625,72.8366241455078,Mumbai,Maharashtra
400010,19.05014038085935,72.8289527893066,Mumbai,Maharashtra
400011,18.9751281738281,72.825454711914,Mumbai,Maharashtra
